season,iau,name,ra,dec,principal_star,area_square_degrees,area_sphere_percentage,zone_equatorial,zone_ecliptic,zone_milky_way,quadrant,origin_name
Autumn,And,Andromeda,295.0083333333333,37.441944444444445,Alpheratz,722.278,1.75,North constellation,North ecliptic constellation,,North Hemisphere Quadrant 1,Ptolemy
Southern hemisphere constellation,Ant,Antlia,12.191666666666666,-32.48361111111111,α Antliae,238.901,0.58,South constellation,South ecliptic constellation,,South Hemisphere Quadrant 2,Lacaille
Southern hemisphere constellation,Aps,Apus,260.70416666666665,-75.3,α Apodis,206.327,0.50,South constellation,South ecliptic constellation,,South Hemisphere Quadrant 3,Bayer
Summer,Aqr,Aquarius,25.041666666666664,-10.793055555555556,Sadalsuud,979.854,2.38,Equatorial constellation,Zodiacal constellation #13,,South Hemisphere Quadrant 4,Ptolemy
Summer,Aql,Aquila,228.15,3.4180555555555556,Altair,652.473,1.58,Equatorial constellation,North ecliptic constellation,Milky Way Equator,North Hemisphere Quadrant 4,Ptolemy
Southern hemisphere constellation,Ara,Ara,39.56666666666666,-56.59166666666667,β Arae,237.057,0.57,South constellation,South ecliptic constellation,,South Hemisphere Quadrant 3,Ptolemy
Autumn,Ari,Aries,134.31666666666666,20.798333333333336,Hamal,441.395,1.07,North constellation,Zodiacal constellation #2,,North Hemisphere Quadrant 1,Ptolemy
Autumn,Aur,Auriga,220.76666666666665,42.035555555555554,Capella,657.438,1.59,North constellation,North ecliptic constellation,Milky Way Equator,North Hemisphere Quadrant 2,Ptolemy
Spring,Boo,Bootes,70.61250000000001,31.204444444444444,Arcturus,906.831,2.20,North constellation,North ecliptic constellation,,North Hemisphere Quadrant 3,Ptolemy
Southern hemisphere constellation,Cae,Caelum,160.47083333333333,-37.891666666666666,α Caeli,124.865,0.30,South constellation,South ecliptic constellation,,South Hemisphere Quadrant 1,Lacaille
Autumn,Cam,Camelopardalis,129.9,69.39138888888888,βCamelopardalis,756.828,1.83,North constellation,North ecliptic constellation,,North Hemisphere Quadrant 2,Plancius
Winter,Cnc,Cancer,186.71666666666667,19.809722222222224,Tarf,505.872,1.23,North constellation,Zodiacal constellation #5,,North Hemisphere Quadrant 2,Ptolemy
Spring,CVn,Canes Venatici,227.26666666666665,40.10305555555556,Cor Caroli,465.194,1.13,North constellation,North ecliptic constellation,,North Hemisphere Quadrant 3,Hevelius
Winter,CMa,Canis Major,88.06666666666666,-22.145,Sirius,380.118,0.92,South constellation,South ecliptic constellation,Milky Way Equator,South Hemisphere Quadrant 2,Ptolemy
Winter,CMi,Canis Minor,218.725,6.434166666666667,Procyon,183.367,0.44,Equatorial constellation,South ecliptic constellation,,North Hemisphere Quadrant 2,Ptolemy
Summer,Cap,Capricornus,315.88750000000005,-18.0275,Deneb Algedi,413.947,1.00,South constellation,Zodiacal constellation #12,,South Hemisphere Quadrant 4,Ptolemy
Southern hemisphere constellation,Car,Carina,130.54166666666666,-63.221111111111114,Canopus,494.184,1.20,South constellation,South ecliptic constellation,Milky Way Equator,South Hemisphere Quadrant 2,Lacaille
Autumn,Cas,Cassiopeia,19.816666666666666,62.18444444444444,Schedar,598.407,1.45,North constellation,North ecliptic constellation,Milky Way Equator,North Hemisphere Quadrant 1,Ptolemy
Southern hemisphere constellation,Cen,Centaurus,196.1125,-47.35333333333334,Rigil Kentaurus,1060.422,2.57,South constellation,South ecliptic constellation,Milky Way Equator,South Hemisphere Quadrant 3,Ptolemy
Summer,Cep,Cepheus,330.0,71.01416666666667,Alderamin,587.787,1.42,North constellation,North ecliptic constellation,Milky Way Equator,North Hemisphere Quadrant 4,Ptolemy
Autumn,Cet,Cetus,191.8625,-7.187777777777778,Diphda,1231.411,2.99,Equatorial constellation,South ecliptic constellation,,South Hemisphere Quadrant 1,Ptolemy
Southern hemisphere constellation,Cha,Chamaeleon,196.9,-79.20833333333334,α Chamaeleontis,131.592,0.32,South constellation,South ecliptic constellation,,South Hemisphere Quadrant 2,Bayer
Southern hemisphere constellation,Cir,Circinus,91.175,-63.03944444444444,α Circini,93.353,0.23,South constellation,South ecliptic constellation,,South Hemisphere Quadrant 3,Lacaille
Southern hemisphere constellation,Col,Columba,171.0625,-35.10194444444445,Phact,270.184,0.65,South constellation,South ecliptic constellation,,South Hemisphere Quadrant 1,Plancius
Spring,Com,Coma Berenices,279.82916666666665,23.309444444444445,β Comae Berenices,386.475,0.94,North constellation,North ecliptic constellation,Milky Way North pole,North Hemisphere Quadrant 3,Tycho Brahe
Summer,CrA,Corona Australis,237.74583333333334,-41.15694444444444,Meridiana,127.696,0.31,South constellation,South ecliptic constellation,,South Hemisphere Quadrant 4,Ptolemy
Summer,CrB,Corona Borealis,186.9125,32.63027777777778,Alphecca,178.71,0.43,North constellation,North ecliptic constellation,,North Hemisphere Quadrant 3,Ptolemy
Spring,Crv,Corvus,78.7125,-18.43888888888889,Gienah,183.801,0.45,South constellation,South ecliptic constellation,,South Hemisphere Quadrant 3,Ptolemy
Winter,Crt,Crater,308.8666666666667,-15.937222222222221,δ Crateris,282.398,0.68,South constellation,South ecliptic constellation,,South Hemisphere Quadrant 2,Ptolemy
Southern hemisphere constellation,Cru,Crux,310.50416666666666,-60.18861111111111,Acrux,68.447,0.17,South constellation,South ecliptic constellation,Milky Way Equator,South Hemisphere Quadrant 3,Plancius
Summer,Cyg,Cygnus,280.1625,44.55277777777778,Deneb,803.983,1.95,North constellation,North ecliptic constellation,Milky Way Equator,North Hemisphere Quadrant 4,Ptolemy
Summer,Del,Delphinus,49.50833333333333,11.673888888888888,Rotanev,188.549,0.46,North constellation,North ecliptic constellation,,North Hemisphere Quadrant 4,Ptolemy
Southern hemisphere constellation,Dor,Dorado,294.7708333333333,-59.38944444444444,α Doradus,179.173,0.43,South constellation,South ecliptic pole,,South Hemisphere Quadrant 1,Bayer
Spring,Dra,Draco,42.11666666666666,67.0111111111111,Eltanin,1082.952,2.63,North constellation,North ecliptic pole,,North Hemisphere Quadrant 3,Ptolemy
Summer,Equ,Equuleus,106.1,7.7636111111111115,Kitalpha,71.641,0.17,North constellation,North ecliptic constellation,,North Hemisphere Quadrant 4,Ptolemy
Autumn,Eri,Eridanus,132.90416666666667,-28.760277777777777,Achernar,1137.919,2.76,Equatorial constellation,South ecliptic constellation,,South Hemisphere Quadrant 1,Ptolemy
Southern hemisphere constellation,For,Fornax,102.55833333333332,-31.635277777777777,Dalim,397.502,0.96,South constellation,South ecliptic constellation,,South Hemisphere Quadrant 1,Lacaille
Winter,Gem,Gemini,169.81666666666666,22.60027777777778,Pollux,513.761,1.25,North constellation,Zodiacal constellation #4,Milky Way Equator,North Hemisphere Quadrant 2,Ptolemy
Southern hemisphere constellation,Gru,Grus,336.9125,-46.35305555555556,Alnair,365.513,0.89,South constellation,South ecliptic constellation,,South Hemisphere Quadrant 4,Bayer
Spring,Her,Hercules,260.81666666666666,27.50916666666667,Kornephoros,1225.148,2.97,North constellation,North ecliptic constellation,,North Hemisphere Quadrant 3,Ptolemy
Southern hemisphere constellation,Hor,Horologium,49.233333333333334,-53.33833333333334,α Horologii,248.885,0.60,South constellation,South ecliptic constellation,,South Hemisphere Quadrant 1,Lacaille
Winter,Hya,Hydra,174.30416666666667,-14.541944444444445,Alphard,1302.844,3.16,Equatorial constellation,South ecliptic constellation,,South Hemisphere Quadrant 2,Ptolemy
Southern hemisphere constellation,Hyi,Hydrus,35.270833333333336,-69.96083333333334,β Hydri,243.035,0.59,South constellation,South ecliptic constellation,,South Hemisphere Quadrant 1,Bayer
Southern hemisphere constellation,Ind,Indus,329.63749999999993,-59.711111111111116,α Indi,294.006,0.71,South constellation,South ecliptic constellation,,South Hemisphere Quadrant 4,Bayer
Summer,Lac,Lacerta,337.0333333333333,46.0475,α Lacertae,200.688,0.49,North constellation,North ecliptic constellation,,North Hemisphere Quadrant 4,Hevelius
Winter,Leo,Leo,106.0125,13.142222222222221,Regulus,946.964,2.30,Equatorial constellation,Zodiacal constellation #6,,North Hemisphere Quadrant 2,Ptolemy
Winter,LMi,Leo Minor,228.3375,32.135555555555555,Praecipua,231.956,0.56,North constellation,North ecliptic constellation,,North Hemisphere Quadrant 2,Hevelius
Autumn,Lep,Lepus,83.64583333333333,-19.055000000000003,Arneb,290.291,0.70,South constellation,South ecliptic constellation,,South Hemisphere Quadrant 1,Ptolemy
Spring,Lib,Libra,160.0125,-15.235555555555555,Zubeneschamali,538.052,1.30,South constellation,Zodiacal constellation #8,,South Hemisphere Quadrant 3,Ptolemy
Spring,Lup,Lupus,119.97083333333333,-42.71472222222223,α Lupi,333.683,0.81,South constellation,South ecliptic constellation,Milky Way Equator,South Hemisphere Quadrant 3,Ptolemy
Winter,Lyn,Lynx,282.8208333333334,47.46666666666667,α Lyncis,545.386,1.32,North constellation,North ecliptic constellation,,North Hemisphere Quadrant 2,Hevelius
Summer,Lyr,Lyra,154.17916666666667,36.69333333333333,Vega,286.476,0.69,North constellation,North ecliptic constellation,,North Hemisphere Quadrant 4,Ptolemy
Southern hemisphere constellation,Men,Mensa,314.6166666666667,-77.50666666666666,α Mensae,153.484,0.37,South constellation,South ecliptic constellation,,South Hemisphere Quadrant 1,Lacaille
Southern hemisphere constellation,Mic,Microscopium,188.86666666666667,-36.280277777777776,γ Microscopii,209.513,0.51,South constellation,South ecliptic constellation,,South Hemisphere Quadrant 4,Lacaille
